nombreImagen:tEjecucionSeam:tEjecucionRun:tEtotal:memoriaSeamCarvingNeta:memoriaRunLenthNeta:memoriaCompresion
55b643a71700002600565710,csv:201,50884890556335:2,614487409591675:204,12333631515503:67,08984375:0,0:67,08984375
59668ab7e57487d707ccb1c72b277df3,csv:12,530098676681519:0,7341458797454834:13,264244556427002:7,48046875:0,0:7,48046875
5f884a6bea23a5001903d843,csv:16,474835634231567:0,8537476062774658:17,328583240509033:9,8984375:0,0:9,8984375
5f96ec664743a3001216b9bb,csv:16,184348106384277:0,8513789176940918:17,03572702407837:9,44140625:0,0:9,44140625
6,csv:7,680543661117554:0,6527130603790283:8,333256721496582:5,03515625:0,0:5,03515625
610_holycow_interview-e1414436247275-500x282,csv:4,777470350265503:1,0999534130096436:5,8774237632751465:3,25:0,0:3,25
65126-istock-92055550_0,csv:1143,2374975681305:8,164770126342773:1151,4022676944733:260,4609375:52,35546875:312,81640625
6C8322400-panda_cow--1828381522_v2,csv:34,615129232406616:1,0440025329589844:35,6591317653656:17,49609375:0,0:17,49609375
7-healthy-cows-400x312,csv:3,563887357711792:1,1144747734069824:4,678362131118774:5,36328125:0,0:5,36328125
79151b1f16c9c351cbe0689d41533340e993cb52,csv:12,895934343338013:0,7669529914855957:13,662887334823608:8,3203125:0,0:8,3203125
800,csv:21,72064185142517:0,9156603813171387:22,63630223274231:11,828125:0,0:11,828125
83736,csv:13,089625120162964:0,7374436855316162:13,82706880569458:8,0625:0,0:8,0625
870089-83077-qpzqwhiifl-1519643868,csv:57,33121156692505:1,328948736190796:58,660160303115845:22,42578125:0,0:22,42578125
910357290,csv:29,74943494796753:0,9977991580963135:30,747234106063843:13,41015625:0,0:13,41015625
9551411,csv:698,1993787288666:6,981340408325195:705,1807191371918:227,265625:10,3125:237,578125
960x0 (1),csv:38,97480869293213:1,151184320449829:40,12599301338196:24,28125:0,0:24,28125
960x0,csv:43,72474503517151:1,2746832370758057:44,999428272247314:29,421875:0,23828125:29,66015625
9cd211cb5e4b45e5287e2485456874b8b1-beach-cows,csv:108,98413419723511:2,218510150909424:111,20264434814453:44,44921875:0,125:44,57421875
A-cow-007,csv:4,324579954147339:1,0696911811828613:5,3942711353302:3,96875:0,0:3,96875
AdobeStock_655955,csv:24,972052574157715:0,9247703552246094:25,896822929382324:18,52734375:0,0:18,52734375
Ag-Farm_0eaf9898-2cb6-44f0-acc1-fba90894f38f,csv:4094,892625808716:18,13766384124756:4113,030289649963:622,25390625:34,34375:656,59765625
Alimentarium-vache,csv:9,135510921478271:0,6632852554321289:9,7987961769104:6,51171875:0,0:6,51171875
all-about-cows-1 (1),csv:2469,128250360489:13,012113809585571:2482,1403641700745:444,00390625:10,6171875:454,62109375
all-about-cows-1,csv:2468,1301321983337:12,958537578582764:2481,0886697769165:440,7109375:10,2578125:450,96875
amazing-cow-teaser,csv:9,412450551986694:0,6800391674041748:10,09248971939087:7,68359375:0,0:7,68359375
animal-close-up-countryside-63246-371epyjyzln4kkfnq67qio,csv:48,70352864265442:1,2459776401519775:49,9495062828064:21,62109375:0,0:21,62109375
